loading, validation, memory_usage
1338.05, 0.594, 20.31250000000000000000
1271.803, 0.272, 21.39648437500000000000
1229.832, 0.254, 21.02539062500000000000
1250.857, 0.27, 23.00781250000000000000
1242.049, 0.404, 19.76562500000000000000
1264.121, 0.413, 19.56054687500000000000
