type,engine,experiment,count
PatternConstraintComponent,jena,FR_core,47585
PatternConstraintComponent,jena,FR_era,47585
PatternConstraintComponent,jena,FR_tds,0
PatternConstraintComponent,maplib,ES_core,0
PatternConstraintComponent,maplib,ES_era,0
PatternConstraintComponent,maplib,ES_tds,0
PatternConstraintComponent,maplib,FR_core,0
PatternConstraintComponent,maplib,FR_tds,0
PatternConstraintComponent,pyshacl,ES_core,0
PatternConstraintComponent,pyshacl,ES_era,0
PatternConstraintComponent,pyshacl,ES_tds,0
PatternConstraintComponent,pyshacl,FR_core,0
PatternConstraintComponent,pyshacl,FR_tds,0
PatternConstraintComponent,rdf4j,ES_core,8
PatternConstraintComponent,rdf4j,ES_era,0
PatternConstraintComponent,rdf4j,ES_tds,0
PatternConstraintComponent,rdf4j,FR_core,3043
PatternConstraintComponent,rdf4j,FR_era,0
PatternConstraintComponent,rdf4j,FR_tds,0
PatternConstraintComponent,rdfunit,ES_core,8
PatternConstraintComponent,rdfunit,ES_era,8
PatternConstraintComponent,rdfunit,ES_tds,1
PatternConstraintComponent,rdfunit,FR_core,47585
PatternConstraintComponent,rdfunit,FR_era,47585
PatternConstraintComponent,rdfunit,FR_tds,0
PatternConstraintComponent,topbraid,ES_core,8
PatternConstraintComponent,topbraid,ES_era,8
PatternConstraintComponent,topbraid,ES_tds,1
PatternConstraintComponent,topbraid,FR_core,47585
PatternConstraintComponent,topbraid,FR_era,47585
PatternConstraintComponent,topbraid,FR_tds,0
PatternConstraintComponent,dotnet_rdf,ERA_tds,14102
PatternConstraintComponent,jena,ERA_core,82002
PatternConstraintComponent,jena,ERA_era,82002
PatternConstraintComponent,jena,ERA_tds,14102
PatternConstraintComponent,maplib,ERA_core,15955
PatternConstraintComponent,maplib,ERA_era,15955
PatternConstraintComponent,maplib,ERA_tds,0
PatternConstraintComponent,maplib,FR_era,0
PatternConstraintComponent,rdf4j,ERA_core,6020
PatternConstraintComponent,rdf4j,ERA_era,0
PatternConstraintComponent,rdf4j,ERA_tds,0
PatternConstraintComponent,rdfunit,ERA_core,82002
PatternConstraintComponent,rdfunit,ERA_era,82002
PatternConstraintComponent,rdfunit,ERA_tds,14102
PatternConstraintComponent,topbraid,ERA_core,82002
PatternConstraintComponent,topbraid,ERA_era,82002
PatternConstraintComponent,topbraid,ERA_tds,14102
MaxCountConstraintComponent,corese,ES_core,8963
MaxCountConstraintComponent,corese,ES_era,8963
MaxCountConstraintComponent,corese,ES_tds,8963
MaxCountConstraintComponent,corese,FR_core,499083
MaxCountConstraintComponent,corese,FR_tds,499083
MaxCountConstraintComponent,dotnet_rdf,ES_core,8963
MaxCountConstraintComponent,dotnet_rdf,ES_era,8963
MaxCountConstraintComponent,dotnet_rdf,ES_tds,8963
MaxCountConstraintComponent,dotnet_rdf,FR_core,499083
MaxCountConstraintComponent,dotnet_rdf,FR_tds,499083
MaxCountConstraintComponent,jena,ES_core,8963
MaxCountConstraintComponent,jena,ES_era,8963
